date,title
1987-10-10,Energy Futures Higher  Handful Of Us Firms Stay In Nicaragua  Opec President Is Optimistic About Stability Of Oil Prices 
1987-10-11,Some Us Businesses Still Operating In Nicaragua  Us Firms Continue Nicaragua Operations 
1987-10-12,Crude Oil Export Exemption Sought  Gasoline Costs Dip 
1987-10-13,Gasoline Price Dip May Be ShortLived 
1987-10-14,Govt Plans Further Cut In Crude Import Duty  Oil Demand Up Last Month 
1987-10-15,Unleaded Gasoline Demand Shows Rise 
1987-10-16,IRAN HITS USOWNED TANKER The Washington Post
1987-10-17,Gulf Anxiety Jacks Up Oil Prices  Gulf Troubles Send Crude Oil Futures Higher  Market Plummets 108 Points  Opec Gets Gulf Assurance On Market Stability 
1987-10-18,Gulf Incident Sparks Oil Metals Rally 
1987-10-19,New York Oil Prices Go Up Following Attack  West Texas Crude Higher 
1987-10-20,Investors Seek Safety In Gold 
1987-10-21,Royal Bank Expecting 20 Oil Price By The New Year 
1987-10-22,Gulf Well Spouting 1 00 Feet Into Air  Iranian Missile Hits Kuwaiti Oil Terminal  Petronas May Increase Crude Output 
1987-10-23,Iranian Missile Penetrates Kuwaiti Offshore Oil Terminal  Reagan Orders Ban On Imports From Iran In Response To Tanker  Reagan To Impose Iran Trade Ban 
1987-10-24,Reagan Plans To Place Ban On Iran Trade 
1987-10-25,Iranian Gunboat Hits Tanker Reagan Set To Ban Trade With Iran
1987-10-26,Orders Trade Ban On Iran 
1987-10-27,Us Bans Most Trade With Iran  Us Orders Ban On Imports From Iran 
1987-10-28,Energy Chief Predicts Iran Will Cut Oil Prices  Energy Chief Says Iran May Cut Oil Prices  Gas Futures Sill Increase  Iran Claims Aerial Counterattack In Iraq  Saudi King Foresees No Rise In Oil Price 
1987-10-29,Stonewall County Oil News 
1987-10-30,Heating Oil Shortage Claimed  Heating Oil Supply dangerously Low 
1987-10-31,Consumer Group Says Heating Oil Supply Is Getting  Heating Oil Shortage Looms Group Says  Heating Oil Supplies Low 
1987-11-01,Oil Company Pipelines Severed At Texas City About 3000 
1987-11-02,Japan Refuses To Join Embargo  Japan Wont Join Trade Bans On Iran Gulf War 
1987-11-03,Eoul Still Looking New Sources Of Oil 
1987-11-04,Crude Oil Prices Tumble Again  Local Crude Oil Prices To Rise  Oil Price Slide Goes On Lowest Level In Month  Oil Prices Fall Again Over Friction In Opec 
1987-11-05,Crude Oil Prices Drop Sharply  Iran Claims Attacks On Military Targets  Iran Sees No Hone For End Of Gulf War  Oil Prices Down Sharply  Worried Iranian Oilmen Visit Japan 
1987-11-06,Crude Oil Price Fall  Crude Prices Continue Fall  Iranian Speedboat Sets Us Operated Ship Afire  Opec Chief Unsure If Output Above Ceiling 
1987-11-07,Iranians Counter Oil Embargo  Oil Futures Fall In Week 
1987-11-08,Gulf War Is Heating Up 
1987-11-09,Lower Gas Prices Predicted  Modest Price Cuts Predicted At The Gasoline Pump  Price Of Oil At Its Lowest 
1987-11-10,Spot Crude Oil Prices Ease In Far East 
1987-11-11,Soviet Leader Loses Title And Suffers A Heart Problem 
1987-11-12,Crude Down Four Cents  Curb Us Consumption Not Irans Oil  Saudis Seek Steady Rise In Output 
1987-11-13,Iran Rejects Call Three Tankers Hit  Iraq Says Tanker Hit Iran Pledges To Fighl  Oil Prices Little Changed 
1987-11-14,Crude Oil Prices Static In Nervous Market  Iraq Claims Five Attacks  Iraqi Missile Hits Tugboat Kills Two In Third Attack  Oil Futures Edge Higher Refined Products Are Down 
1987-11-15,Black Gold Oil Shapes Character and History Of Our Fledgling State
1987-11-16,Cleanup From Tornadoes Begins  Iran Attacks Tanker Two Others In Gulf  Iran Attacks Us Owned Tanker Two Other Ships In Gulf  Iran Blasts UsManaged Supertanker  Iran Hits Us Supertanker By Richard Pyle  Iranians Attack Us Owned Tanker Two Others In Gulf  Iranians Attack Us Supertanker 
1987-11-17,Evacuations Fin Terror Reign As Killer Tornadoes Hammer  Futures Lower  Iranian Gunboats Attack Two AmericanOwned Tankers In Gulf Killer Tornadoes Devastate Southern States  Killer Tornadoes Pound 3 States  Oil Futures Skid In Light Trading  Oil Prices Fall 
1987-11-18,Oil Prices Fall Sharply  Oil Prices Plunge 
1987-11-19,Crude Oil Pricks Oitlook Uncertain  Oil Glut Hurts Opec Efforts To Lift Prices  Oil Industry Faces Production Woes 
1987-11-20,Oil Prices At Their Lowest Since April  Oil Production Costs Rise Activity Drops 
1987-11-21,Gasoline Changes To Cut Fumes Will Raise Prices In Northeast Spot Oil Prices Still Volatile 
1987-11-22,Continued Oil Glut Means Lower Prices 
1987-11-23,Japan Cuts Iranian Oil Imports  Oil And Troubled Waters 
1987-11-25,Dollars Drop Adds Weight To Calls For Opec Hike  Falling Dollar May Prompt Opec To Increase Oil Prices  Iraq Claims Raid On Tanker  Opec Debates Officially Raising Prices 
1987-11-26,Crude Oil Imports Up  Farmers And Ranchers Need To File For Fuel Refunds Now 
1987-11-27,Iran Frigate Shells Romania Ship Several Hits Reported  Iranian Frigate Shells Tanker  Iraqi Jets Hit Iranian Ship In Gulf 
1987-11-28,Two Iranian Tankers Reportedly Attacked Manama Bahrain Aim  Us Cruiser Nearly Fires On Jets Iraq Claims Ship Attack 
1987-11-29,A Trade Nemesis Reappears As Oil Imports Steadily Climb 
1987-12-01,Oil Prices Fall Monday In Face Of Call For Production Boost  Oil Prices Hinge On Meeting  Teheran Fails To Raise Oil Prices Other Arab Producers Act 
1987-12-02,Studies Predict High Costs For Methanol 
1987-12-03,Indias Crude Oil Bill Soars  Oil Prices Edge Higher 
1987-12-04,Dollar Fall And Opecs Position  Seige Of Persian Gulf Makes Alaskan Oil Production More  Tennessee Company To Buy Oil Refinery Putting 200 To Work
1987-12-07,Mokhtar Welcomes Production Rise For Crude Oil 
1987-12-09,Iran No Oil Parity For War Rival Iraq 
1987-12-10,Iran Threatens Opec With Oil Glut  Opec Has Its Doubts About Iranian Threat  Opec May Retain Oil Price 
1987-12-11,Iran Firm On Hiking Oil Costs  Opec Ministers To Tackle Oil Production Control Issue  Opec Rejects Demand For Price Hike  Opec To Tackle Oil Production Dispute 
1987-12-12,Iran Continues Demands For OilPrice Hike 
1987-12-13,Opec Set To Tackle Issue Of Oil Production Control 
1987-12-14,Oil Prices Drop In Europe As Opec Seeks Price Pact 
1987-12-15,International Opec Status Quo Shatters Oil Prices  Opec Talks May Lead To Drop In Oil Price  Weak Dollar Helps Push Gold Above 500 Briefly 
1987-12-16,New Strategy Needed Don Ineffective Use Of Oil Income  Oil Price Drop Wont Lower Heating Cost It If  Oil Prices Drop Again 
1987-12-17,Crude Oil Prices Lowest In A Year  Housing Rebounds Stocks Gain After News About Lower Oil Price Oil Price Dips To Below 16 Per Barrel  Oil Prices Continue Their Plunge  Oil Prices Go Down Markets Go Up  Oil Prices Plunge Below 15  Oil Prices Sink  Us Crude Prices Fall  Violence Increases Against Gulf Ships 
1987-12-18,Bond Prices Little Changed In Trading  CrudeOil Futures Off  Dropping Prices Shake Oil Industry  Fluctuating Prices Make Texas Oilmen Uneasy  Industry Alarmed By Oil Price Slide  Iranian Missiles Hit Tanker  Wild Session Sees Oil Prices Ride Wave 
1987-12-19,Iranians Attack Two Big Tankers  Navy Denies Escorting Attacked Tanker  Oil Futures Dip As Rally Fades  Unpredictable Price Slide Alarming To Oil Industry  Us Denies Tanker Escorted In Attack 
1987-12-20,Iran Ambushes Two Tankers  Opec Deadlock A Consumer Boon 
1987-12-21,Analysts See Opec Woes Bringing Big Consumer Savings  Domestic Oil Output Down In November  Gas Prices Up From Last Year 
1987-12-22,Analyst Predicts Prices Will Decrease At Pumps  Iraq Resumes Blitz Worlds Largest Tanker Others Hit  Oil Futures Mixed Us Grade Tumbles 
1987-12-23,Durables Orders Up Oil Frices Soar Lo Biggest 1 Day Gain  Stocks Drop ProfitTaking Oil Blamed 
1987-12-24,Iranian Attack Sets Afire OilLaden Norwegian Tanker  Iranians Attack Norwegian Tanker 
1987-12-25,Us Oil Price Likely To Be Volatile 
1987-12-26,The Bond Market Now Shifts Focus To Oil Prices 
1987-12-27,Oil Prices May Fall If Saudi Arabia Succumbs 
1987-12-28,Oil Prices Hold Despite Cold 
1987-12-29,Oil Futures Prices Down 
1987-12-30,Crude Oil Futures Slip 
1988-01-01,Us Crude Oil Slipped
1988-01-05,Another Oil Opportunity 
1988-01-08,Deadline Pushed Back For Crude Oil Refunds  Farmers Oil Refund Extended 
1988-01-09,Us Oil Production May Decline Further 
1988-01-11,Saudis Said Selling Oil Below Opec Price 
1988-01-12,Alaska May Have Passed Texas In Oil Production  Amoco Owes 85 Million For Oil Spill Judge Rules  Crude Oil Prices Crumble With Opec  Stock Prices Fall Steeply Instability Of Market Is Cited 
1988-01-13,Deadline Extended For Farm Crude Oil Refunds 
1988-01-14,Crude Oil Futures Finish Slightly Lower  Texaco Inc May Owe 65 Million In Taxes 
1988-01-16,Iran May Cut Back Oil Production Jack Anderson  Iran May Finally Cut Oil Production 
1988-01-18,Saudi Decision To Cut Oil Prices Could Hurt Opec Us Industry Washington MerryGoRound Iranians May Finally Cut Back Oil 
1988-01-20,Crude Oil Refund Deadline Extended  Iran May Cut Back On Oil Production 
1988-01-27,Weak Prices Of Oil Push Usx Into Red 
1988-01-28,Uncertainty Over Oil Outlook Big Us Price Fall Likely 
1988-01-29,Bank Of America Foresees Volatile Oil Price 
1988-02-03,Tanker Flips Spills Crude Oil 
1988-02-04,Heating Oil Leads Rally Of Oil Prices 
1988-02-05,Further Oil Leakage Unlikely 
1988-02-08,Oil Prices To Stay Low I Energy Experts Predict 
1988-02-10,Oil Firm Buys Owner Of Local Refinery 
1988-02-11,Iranian Vessels Attack Set Norwegian Supertanker  Petronas Receives Report On Crude Oil 
1988-02-17,The Tactics Behind The Petrol War 
1988-02-22,Crude Oil Breaks Down Faster In Our Waters  Saudis May Buy Chunk Of Texaco 
1988-02-23,Texaco Settles Agrees To Pay Billion 
1988-02-24,Opec Nations Seek Stakes In European Refineries 
1988-02-25,Oil Prices Dip After Early Rally 
1988-02-26,Oil Prices Plunge About 85 Cents A Barrel  Oil Prices Skid Amid Rising Panic  Prices Drop On Crude Oil  Saudis Plan To Refine Oil In Us And Europe  Saudis Planning To Refine Oil Overseas 
1988-02-27,Oil Shares Are Rocked As North Sea Crude Price Falls Below 15
1988-02-28,India May Be SelfSufficient In Oil By 1990 
1988-02-29,Oil Prices Decline To Below 15 
1988-03-01,Rumors Cause Oil Prices To Tumble 
1988-03-02,Kansas Oil Price Drops By 50 Cents  Oil Price Shoots Up On World Market 
1988-03-03,Crude Oil Prices Continue To Tumble  Oil Prices Soften After Recovering 
1988-03-04,The Pumps Petrol Prices Planned Crude Oil Prices Droner 
1988-03-05,Crude Oil Futures Rebound Slightly Friday 
1988-03-06,Crude Oil Frires Slide 
1988-03-07,Commodities Weekly RoundUp 
1988-03-08,Decline In Oil Prices May Fuel Gas Taxes 
1988-03-09,Oil Price Drop Brings Call For Meetings  Opec To Huddle As Crude Prices Plunge 
1988-03-10,Crude Up Refined Mixed  Oil Price Drop Prompts Call For Urgent Meetings  Oil Report Suppression Denied  Oil Reserve Figures Cut 
1988-03-11,Oil Firms Expect Higher Prices Step Up Exploration Efforts  Price Slide Near End Oil Analysts Conclude 
1988-03-12,Crude Oil Prices Move Into 16ABarrel Range  CrudeOil Prices Advance Further Into 16 Range 
1988-03-14,Pec Oil Output Stays Up For Tear Others May Mi Gap 
1988-03-18,Oil Prices Fall Following Rumours 
1988-03-19,Tanker Spills Crude Oil 
1988-03-22,Cleanup Operations Shut Down At Spill Site  Fear Pushes Most Stocks Downward Dollar Alls Gold Climbs  Most Of Spilled Oil Recovered 
1988-03-24,Cancellation Of Opec News Meeting Sends Prices Down  News Of Opec Meeting Pushes Oil Prices Higher  Oil Markets Drop As Opec Delays Briefing 
1988-03-25,Economic Scope The Advocate Sunday Cheaper Oil Weak 
1988-03-26,Increase In Crude Oil Prices 
1988-03-29,Crude Oil Prices Post 10th Straight Advance 
1988-03-31,Crude Oil Prices Rebound 
1988-04-05,1987 Production Of Gas Increases Crude Oil Declines 
1988-04-07,Australia Faces Huge Oil Trade Deficit Warns Apea  Indias Oil Output Up Marginally  Prices Crude Oil Are Slightly Prices Higher Are Slightly 
1988-04-09,Opec Meet May Look At Sagging Oil Prices 
1988-04-11,Damaged Oil Tanker Stays Off Galveston  Speculation On Opec Action Spurs Rise In Crude Oil Prices 
1988-04-12,Oil Prices Go Higher On Rumors Of Output Limits  Oil Prices Jump As Opec Speculation Incites Action  Oil Tanker Explodes  Opec Move Expected Oil Prices Jump Higher  Opec Plan To Curb Output Fuels Oil Prices Leap  Opec Rumors Fuel Jump In Oil Prices  Speculation On Opec Gives Oil Prices A Jolt 
1988-04-13,Oil Speculation Boosts Pound 
1988-04-14,Opec Output Rises In March  West Durns Mure More Of Opecs Higher Output 
1988-04-18,Crude Oil Production Expected To Rise In 90s  Energy Demand Seen Increasing  Energy Forecast Domestic Oil Production Natural Gas Demand  Nation Natural Gas Demand Predicted To Rise 
1988-04-19,Oil Prices Surge On Gulf Tensions  Oil Prices Surge On Persian Gulf Tensions  Oil Rrces Surge Un Persian Gun Tension Hi I In 
1988-04-21,Refund Deadline June 30 
1988-04-26,Man Attempts To Catch Bird Covered With Crude Oil Volunteer  Oil Companies Report Huge Profits  Spill Threatens Wildlife Haven 
1988-04-28,Brower Opec Scheming Should Not Be Taken Lightly  Caltex Being Denied FreeMarket Bas Oil  Metal Futures Rise Oil Futures Fall As Opec Meets 
1988-04-29,Opec Divided Over Plan  Opec Talks Fail To Reach Accord On Production Cuts  Shell Admits Wrong In Bird Refuge Oil Spill 
1988-04-30,Opec Members Tentatively Agree To Production Cuts 
1988-05-01,200 Animals Said Killed By Oil Spill  Massive Calif Oil Spill Endangers Wildlife  Oil Spill In California Menaces Birds Fish  Oil Spill Menaces Wildlife Sanctuary Fishing 
1988-05-02,Oil Prices Drop As Opec Alliance Bid Fails Key Us Crude  Oil Prices Tumble But Not To Levels Preceding Opecs Meeting
1988-05-03,Oil Prices Decline As Opec Rejects Cut 
1988-05-04,World Oil Prices Stabilizing 
1988-05-05,Oil Prices Stabilise On World Markets 
1988-05-09,Oil Prices Continue Mixed 
1988-05-10,Crude Oil Nrice Slides Higher 
1988-05-16,Court To Hear Oil Company Case 
1988-05-19,Crude Oil Imports Rise 241 Percent  Oil Imports Up 
1988-05-22,Gas Gives Ailing Southwest Economic Hope By Howard  Oil Firms Profits Rise 
1988-05-25,News Digest Indonesia Supplies More Oil 
1988-05-28,Oil Traders Looking For Clues 
1988-06-08,Oil Cartel Expected To Focus On Internal Issues  Why Forward Planning Important For Oil Firms 
1988-06-09,Opec Countries Eye Change In Production Quotas 
1988-06-11,Opec Set To Grapple With Oil Glut Production Cuts Prices 
1988-06-13,Victoria Texas 77901 Oil Group Adjourns For Informal Talks 
1988-06-14,Investigators Seek Cause Of Oil Tank Fire By Thomas Wills  Opec Nations Except Iraq Agree To Extend Oil Production 
1988-06-15,Dpec Extends Urrent Quota Agreement  Opec Aims For Accord On Output Levels  Opec Quota Is Extended Six Months 
1988-06-16,Business Saudis Accept Texaco Partnership  Oil Rates Slip On Opec Move  Texaco Says It May Sell Refineries To Saudi Arabia 
1988-06-17,Crude Oil Imports Grow  Saudis Accept Texaco Partnership 
1988-06-19,Saudi Link To Texaco May Help Stabilize Oil Prices 
1988-06-22,Oversupplied Market Leads To Drop In Oil Prices 
1988-06-25,Oil Prices On Decline  Saudis Increase Discounts To Some Buyers In Europe 
1988-06-28,Excess Crude Drops Energy Futures 
1988-07-01,Crude Oil Prices Plunge  Lower Crude Un Oil Prices Help Cool Inflation  Oil Prices Slip Below 15 A Barrel 
1988-07-02,Oil Drops Below 15 A Barrel Opec Price War Anticipated  Oil Prices Drop On  Oil Prices Fall Traders Fear Opec Price War  Oil Prices Seen To Stay Low 
1988-07-04,Indias Oil Imports Grow As Its Own Supply Stagnates 
1988-07-05,Oil Market Ignores Gulf Crisis 
1988-07-06,Price Of Of Oil Stable Despite Hostilities 
1988-07-07,At Least 150 Missing Oil Rig Explodes  Oil Prices Rise Based On Opec Meet Rumor  Rescuers suspended the search for up to 166 workers
1988-07-08,Impact Of Rig Disaster On Oil Futures Lessens  OIL RIG EXPLODES IN NORTH SEA The Washington Post Stocks Fall As Oil Prices Rise Dollar Weakens 
1988-07-09,North Sea Oil Rig Blast Pushes Up Prices 
1988-07-12,Crude Oil Prices Plummet  Oil Prices Plunge On Supply Reports 
1988-07-13,Analysts See Pump Prices Up 2 Cents By September 
1988-07-14,Oil Imports Jump  Oil Imports Surge In First Half Of 88 
1988-07-17,World Crude Oil Prices Firmer 
1988-07-18,Massive Oil Spill Kills Small Wildlife In Texas  Mexico Takes Errant Opec Members To Task  Oil Spill Has Little Effect On Wildlife  Texas Oil Spill Killing Animals 
1988-07-19,Gasoline Demand And Prices 
1988-07-20,World Oil Price Reacting To Peace Prospect 
1988-07-21,Oil Prices Fall Back 
1988-07-25,Oil Prices Edge Higher On World Marts  Why Oil Is Cheaper But Gas Isnt 
1988-07-30,Oil Prices Fall On Most Markets 
1988-08-04,Gas Prices Raise To 3Year High  Gulf War Oil Boom Sparked It And Doused It  Opec Confesses It Is One Cause Of Low Oil On Prices 
1988-08-09,CeaseFire Plan Fuels Oil Prices  Consumer Goup Says Gas Prices Are Too High  Oil Group Denies Charge 
1988-08-10,Gulf Truce Spawns Rise In Oil Price 
1988-08-11,Change Of Seasons Hits Oil Futures Prices 
1988-08-17,Oil Demand Unlikely To Reduce Glut  Oil Futures Prices Down In Advance Of Report 
1988-08-20,Oil Prices Climb On Opec Rumor  Pemex Announces Plan To Raise Some Oil Prices 
1988-08-21,Mexico To Raise Oil Prices For West 
1988-08-22,Ceasefire Can Help Raise Oil Prices  Mexico Raises Oil Price To Us 
1988-08-24,Oil Futures Decline Inventory Hike Expected 
1988-08-26,Opec Report Pushes Oil Prices Down Sharply 
1988-08-31,Texaco To Pay State For Oil Overcharges 
1988-09-01,Energy Futures Prices Mixed Opec Report Worries Traders 
1988-09-03,Oil Prices Predicted To Drop 
1988-09-05,Gulf Calm May Bring Oil Prices Down Say Experts  In Gulf Mean Oil Lower Prices Analysts  Oil Prices Slide 
1988-09-07,Dont Forget Lessons Of Oil Crisis  Oil Prices Slide On Supply Concerns 
1988-09-08,Analysts Oil May Fall More Wont Collapse 
1988-09-09,International Gulf Oil Ministers To Meet In Saudi Arabia 
1988-09-10,Oil Futures Decline To Near 2Year Lows 
1988-09-11,Thousands Of Gallons Of Oil Gush Into Busy Streets Of Los 
1988-09-12,Oil Prices Rebound After Skid Below 14 A Barrel  Saudi Head Hints At Stabilized Oil Supplies 
1988-09-13,Oil Prices Rebounding After A TwoYear Low 
1988-09-14,Revised Estimates Show Us With Gain In Crude Oil Reserves
1988-09-19,Opec Chief Says Oil Price To Recover Soon 
1988-09-20,Opec Ministers Schedule Emergency Session Sunday 
1988-09-22,Crude Gasoline Futures Higher Heating Oil Oil Down  Gasoline Futures Up Heating Oil Down 
1988-09-25,Opec Ministers Discuss Ways To Limit Production 
1988-09-26,Opec Nations Meet To Harness Surge In Oil Production 
1988-09-27,Control Over Flow Of Oil  Opec Chairman Predicts Comeback  Opec Seeks Process For Unity Restoration  World Opec On Verge Of Starting Over 
1988-09-29,Crude Oil Prices Decline 
1988-10-01,Oil Price Slide Reflects Opec 
1988-10-04,Gas Prices Stay Stable Despite Oils Slide 
1988-10-05,Crude Oil Prices Fall To TwoYear Low  Rude Oil Prices Steady Outlook Still Bearish 
1988-10-06,Premium Gasoline Little Value For Your Money Study Shows 
1988-10-07,State Official Savs 18Cent Drop Possible As Fuel Oil 
1988-10-09,Life On Oil Platform Far From Boring 
1988-10-10,Arabia Calls For Oil Reductions  Saudis Want Opec To Cut Oil Production  Saudis Warn Oil Price Accord Must Precede Pumping Letup 
1988-10-12,Crude Oil Prices Seesaw  Home Oil Prices Have Dropped Sharply 
1988-10-13,Crude Oil Prices Take Jump To More Than 14 A Barrel 
1988-10-15,Gulf Oil Cartel Seeks To Raise Ailing Prices 
1988-10-16,Crude Oils Sharper Price Moves 
1988-10-20,Oil Production Down In Us 
1988-10-24,Oil Companies See Downstream Gains 
1988-10-25,Oil Firms Report Increased Profits  Oil Prices Decline After Opec Meetings 
1988-10-31,Opec Violations Point To Crisis In Oil Prices 
1988-11-02,Sinking Prices Will Put Oil Patch Over A Barrel Decline 
1988-11-10,Opec Crude Oil Reserves Up  TexacoSaudi Deal Opposed By Group Citing Threat To Us  Timber Sale To China Esso Puts Hold Oil Pleases Elders Res
1988-11-11,Experts Think Oil Prices Will Drop Sharply 
1988-11-12,Moving Away From Western Oil Companies 
1988-11-13,Gasoline Steady Heating Oil Down 
1988-11-15,Getting Importers To Buy At Govt Price 
1988-11-17,Opec Reaches Agreement On Oil Production Cutbacks 
1988-11-18,Oil Prices Slump Worldwide Opec Urges Iran Iraq To Curb 
1988-11-19,Oil Futures Prices Vary 
1988-11-20,Increase In Oil Futures Boosts Precious Metals 
1988-11-21,Oil Companies Afraid Of Change  Shell To Proceed With 650m Plant Upgrade Sap 
1988-11-23,Opec Confusion Rattles Traders  Opec Oil Ministers Cut A Tentative Deal 
1988-11-24,Oil Down But Gas Still Up By Mark Bomste  Opec Ministers Agreement May Send Oil Prices Up As 
1988-11-25,Analysts Doubt Oil Pact Will Hold  Crude Oil Prices Gush Up Following Production Deal  If Opec Deal Stands Gas Prices May Jump  Opec Cuts A Tentative Deal To Increase Crude Oil Prices  Opec Deal Would Hike Oil Prices  Opec Leaders Find Oil Price Agreement  Opec Ministers Cut Tentative Deal To Limit Production  Will Crude Oil Costs To The Us Stabilize 
1988-11-26,Crude Oil Prices Set To Rise  Oil Output Agreement Analysts Doubt Opec Control  Opec Deal Wont Hold Oil Analysts Predict  Opec Sets Tentative Limits Oil Prices Up Cartel Curbs 
1988-11-27,Opec To Cut Output Raise Prices 
1988-11-28,Business Opec Agrees To Cut Production  New Agreement Will Cut Output Raise Oil Prices  Oil Output Is Cut Prices Going Up  Opec Agreement Will Raise Prices  Opec Agrees To Cut Oil Production Boost Prices  Opec Cuts Output To Raise Oil Prices  Opec In Accord Oil Prices To Go Up  Opec Ministers Agree On Production Accord  Price Of Gasoline Will Rise Following Opec Accord 
1988-11-29,Oil Prices Will Not Rise Experts  Opec Approves Output Pact Prices Rise 
1988-11-30,Experts Gas Prices Wont Increase Soon 
1988-12-01,Editorials Gasoline Prices Hit Pose A Riddle  Oil Patch Is Pleased By Opec Agreement  Oil Prices Energy Futures Surge Amid Oil Pact 
1988-12-02,Oil Futures Stronger 
1988-12-03,Oil Futures Rise  Oil Futures Up In Light Trading 
1988-12-05,Forestall An Oil Crisis  Gas Price Falls To Under 1  Gas Prices Under 1 Per Gallon  Gasoline Price Under 1 Survey Shows Market Stable  Gasoline Prices Dip By Nearly Half A Cent 
1988-12-07,Oil Futures Prices Drift Higher Tuesday  Oil Prices Pushed Up 
1988-12-08,Energy Futures Turn Higher 
1988-12-09,Oil Prices Lower 
1988-12-13,Bond Prices Slightly Lower  Survey Area Gas Prices Above State Average Social Security 
1988-12-14,Daily Crude Down In Sept  Iraq Abandons Oil Pipeline 
1988-12-17,Gasoline To Remain  Inflation Climbs At Moderate Pace  Inflation Rises Moderately  Inflation Up Moderately Housing Starts Hit Hiqh  Wholesale Price Rise Eases Fears 
1988-12-18,Heating Oil In State  Stocks Close Strongly Higher  Wholesale Prices Housing Starts Up 
1988-12-19,End Seen For Opec In Future  Energy Secretary Says Opec Doomed  Gas Orice Dio Brinas 25 Billion Savings  Gasoline Prices Dropping  Gasoline Prices Edge Downward 
1988-12-21,Natural Gas A Money Spinner  Oil Futures Prices Rise Sharply For January Buys 
1988-12-22,Experts Predict Oil Price Hike  Higher Oil Prices Appear Likely 
1988-12-23,Oil Spilled After Tug Hits Barge 
1988-12-24,Experts Expect Oil Prices To Rise  Opec Seen As Serious Over Quotas Higher Oil Prices Shell 
1988-12-25,Japan May Have To Pay More For Indon Crude 
1988-12-26,Stock Market In Review Closed Today Market Advanced Last Week
1988-12-27,Crude Oil Prices Continue To Fall  Pacific Oil Spill Kills 300 Sea Birds 
1988-12-28,Oil Prices Increase  Oil Prices Post Increase  Stepping On The Gas 
1988-12-29,Energy Futures Lower  Gas Prices No Longer Crude Based  Home Heating Oil Prices Higher Says State Office Of Energy  Prices Show Decline 
1988-12-30,Oil Slick Called Worst In The States History  Oil Slick Is The States Worst 
1988-12-31,Oil Prices End Strong 
1989-01-02,More Crude Oil Birds Are Found 
1989-01-04,Crude Oil Prices Firmer 
1989-01-10,Saudis Reportedly Have More Oil Gas 
1989-01-11,Analysts Doubt Pumped Up Prices For Oil Will Last  Oil Jumps But Analysts Remain Skeptical  Oil Prices Making Comeback After Opec Production Cuts West 
1989-01-12,Oil Jumps But Analysts Have Doubts  Oil Prices Increase Faster Than Expected By The Press  Oil Prices Increase Speed Surprising  Oil Prices Up But Is Opec On The Rebound 
1989-01-13,Is Oil Pact Holding Up Prices Climb But Two Opec Nations 
1989-01-14,Oil Spills Continue To Foul Waters Kill Birds 
1989-01-15,Analysts Not Sure About Success Of Oil Prices  Latest Accident May Rekindle Environmentalism Oil 
1989-01-17,Tight Sweet Crude Means Higher Prices 
1989-01-24,Crude Oil Prices Drop On A Barrel  Crude Oil Prices Plunge In Heavy Selling 
1989-02-03,Crude Oil Prices Jump Up Sharply 
1989-02-16,Output Limit Plan Raises Oil Futures 
1989-02-21,Opec Accord Said Raising Prices By Sally Jacobsen  Opec Members Sticking To Production Ceilings  Opec Still Unified In Cutting Oil Output 
1989-03-03,Tanker Runs Aground Spills Oil And Fuel 
1989-03-04,Grounded Tanker Spills Oil Off Hawaiian Coast  Tanker Freed Off Oahu Oil Spills  Team Works To Clean Up Oil Spill 
1989-03-05,Cleanup Of Oil Up Spill Continues In Hawaii  Crews Check Dam To Tanker After Oil  Crews Cleaning Up Tanker Oil Spill 
1989-03-06,Damaged Tanker Pumped Dry As Oil Spill Cleanup Continues 
1989-03-07,Exxon Head Expects Oil Prices To Be Stable For Up To 2 Years
1989-03-08,Platinum Pushes Price Of Metals 
1989-03-14,Crude Oil Prices Surge 
1989-03-15,Crude Cracks Us19 Mark After 7 Weeks 
1989-03-16,Oil Futures Jump 48 Cents Approach 17Month High  Prices Of Crude Oil Highest In Years 
1989-03-17,Lower Oil Prices Foreseen After 6 Months Of Increase Us 
1989-03-21,Oil Prices Plummet Reverse Earlier Rally 
1989-03-22,Fuel Costs Expected To Go Up Again 
1989-03-24,Tanker Spills 113 Million Gallons Of Oil Off Alaska 
1989-03-25,Alaskan Tanker Spills 11 Million Gallons Of Oil  Grounded Tanker Spills Crude Oil Off Coast Of Alaska  Grounded Tanker Spills Oil  Lhemicals Tail To Disperse Huge Oil Spill  Massive Oil Spill In Alaska Sound A Record For Us  North Slope Oil Spill Largest Ever  Oil Cleanup Effort Criticized  Oil Spill Biggest In Us History  Tanker Spills Oil Off Alaska 
1989-03-26,Alaska Oil Spill Biggest In Us History  Alaska Oil Spill Everyones Secret Nightmare  Biggest Oil Spill In Us History Concerning Wildlife Officials  BiggestEver Us Oil Spill Tackled  Effort To Clean Record Oil Spill Stymied 
1989-03-27,Disaster Will Be Asked In Spill  Fishermen Seek Tanker Spill Compensation  Oil Spill Hikes Futures Prices Opec To Meet  Tanker Was Piloted Illegally 
1989-03-28,Bush Urged To Declare Alaska Spill A Federal  Trial Tanker Spill Pushes Up  Winds Hamper Oil Cleanup  Winds Hamper Oil Cleanup Effort 
1989-03-29,Bush Dispatches Officials To Evaluate Alaska Oil Spill  Oil Spill Sparks Price Surge 
